1) Gender,2) Age,3) Academic degree,4) Main field of research,6) Do you work\study only in the academia? ,"7) How many years have passed since your first academic publication (i.e., academic age)",8) Current affiliation's country ,"9) Based on the last 5 years, on average, how many research projects do you involved in, at the same time? ",10) How many academic papers did you publish with one or more co-author(s) other than your advisor(s)? ,"11) How many solo (i.e., you are the only author) papers did you publish? ",12) How many advisors did you have during your master's studies?,13) How many papers you published during your Masters with your advisor(s)? ,14) How many advisors did you have during your Ph.D. studies?,15) How many papers you published during your Ph.D. studies with your advisor(s)? ,16) How many years your (main) master's advisor is/was older than you?,17) What is/was your master's advisor academic title?,18) What is/was your (main) master's advisor's gender?,19) Did you have a conflict about credit distribution in a paper with your Master's advisor(s)?,20) How many years your (main) Ph.D.'s  (or MD)   advisor is/was older than you?,21) What is/was your (main) Ph.D. (or MD) advisor's gender?,22) Did you have a conflict about credit distribution in a paper with your Ph.D.  (or MD) advisor(s)?,23) What is/was your Ph.D.'s (or MD) advisor academic title?,24) Did you have a conflict about credit distribution in a paper with your peers?,25) Did you add someone to a paper without him\her contributing at all (or not enough to be named an author)? ,26) How often do you ask authors to cite you as part of a review process?,27) How often do you cite your colleagues even when the citation is not entirely scientifically warranted?,"28) How often a co-author raise demands or claims to get more credit in a paper, usually with a treat of delaying the paper's submission/publication?",29)  How many times do you update a papers' authors list based on co-authors' demands and NOT BASED ON CHANGES IN THE CONTRIBUTION of the authors?,5) Second field of research (if any),30) How often do you have to demand to get more credit for you work in a research?
Male,66+,Professor,Informatics,Yes,20+,United States,4,10+,5-10,1,1,2,2,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Environmental science,Never
Male,66+,Professor,Informatics,Yes,20+,Canada,5+,10+,5-10,1,2,2,4,5-10,Prof.,Male,No,5-10,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,Basic medicine,Rarely
Female,36-45,Third (Ph.D. \ MD),Informatics,Yes,10-20,Sri Lanka,5+,10+,1,1,0,2,4,10-20,Dr.,Male,No,10-20,Male,No,Prof.,"No, Yes - They were from the same *field of study* as I am",No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Rarely
Female,26-35,Second (Master),Informatics,Yes,1-2,Italy,3,2-5,0,1,0,2,5+,5-10,Dr.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Mathematics,No,10-20,United States,3,0,0,1,1,1,0,5-10,Dr.,Male,No,40+,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Professor,Mathematics,Yes,20+,India,3,10+,0,1,0,1,2,10-20,Dr.,Male,No,5-10,Male,No,Dr.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am",Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Never,Management,Rarely
Female,66+,Professor,Literature,Yes,20+,Ukraine,5+,10+,10+,I did a direct Ph.D.,0,1,2,,,Female,No,20-40,Female,No,Prof.,Yes - They were from the same *field of study* as I am,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Never,,Never
Female,36-45,Third (Ph.D. \ MD),Biological Science,Yes,6-9,Greece,2,5-10,0,2,1,2,2,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,Basic biology,Never
Male,36-45,Professor,Informatics,Yes,10-20,Israel,5+,10+,1,2,1,2,5+,10-20,Prof.,Male,No,0-5,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Female,26-35,Third (Ph.D. \ MD),Informatics,No,10-20,Turkey,4,5-10,0,2,3+,2,1,20-40,Prof.,Female,No,10-20,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am, Yes - They were from the same *gender* as I am",Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,,Rarely
Female,36-45,Third (Ph.D. \ MD),Social sciences,Yes,6-9,Israel,3,5-10,0,2,2,1,5+,10-20,Dr.,Female,Yes,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Professor,Informatics,Yes,20+,Israel,5+,10+,10+,1,0,1,5+,5-10,Prof.,Male,No,Younger than me,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Never,,Never
Female,26-35,Third (Ph.D. \ MD),Management,No,3-5,Belgium,1,2-5,1,1,1,1,1,20-40,Dr.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,Politics,Never
Male,36-45,Second (Master),Informatics,No,0,Israel,2,1,0,2,1,,,Younger than me,Dr.,Male,No,,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Electrical and electronic engineering,Yes,3-5,Canada,3,2-5,0,1,2,2,5+,20-40,Prof.,Male,No,0-5,Male,No,Dr.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Rarely
Male,36-45,Third (Ph.D. \ MD),Informatics,Yes,10-20,Germany,3,2-5,0,1,1,1,5+,20-40,Prof.,Male,No,20-40,Male,Yes,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am, Yes - They were from the same *gender* as I am",No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Never,,Often
Male,56-65,Professor,Informatics,No,20+,United States,5+,10+,0,2,1,2,5+,40+,Prof.,Male,No,10-20,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,Linguistics,Rarely
Female,36-45,Professor,Informatics,Yes,10-20,United Kingdom,4,10+,0,1,1,2,5+,20-40,Prof.,Male,No,20-40,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am",Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Never,,Never
Male,18-25,Second (Master),Physics,No,0,United Kingdom,2,2-5,2-5,2,2,,,10-20,Prof.,Male,No,,,,,No,Yes,Only when absolutely relevant and warranted,When in the general scope of the work,Rarely,Rarely,,Rarely
Female,36-45,Professor,Informatics,No,20+,United States,5+,5-10,0,I did a direct Ph.D.,0,2,5+,,,Male,No,10-20,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,26-35,Third (Ph.D. \ MD),Electrical and electronic engineering,No,6-9,India,2,2-5,0,I did a direct Ph.D.,0,2,5+,10-20,Dr.,Male,No,20-40,Male,Yes,Dr.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,Informatics,All the time
Male,46-55,Professor,Informatics,Yes,20+,Israel,5+,10+,2-5,1,1,2,5+,10-20,Dr.,Male,No,10-20,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,,Never
Male,18-25,Third (Ph.D. \ MD),Informatics,Yes,1-2,United States,2,2-5,0,I did a direct Ph.D.,0,1,1,,,Male,No,5-10,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am, Yes - They were from the same *gender* as I am",Yes,When in the general scope of the work,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Rarely
Male,36-45,Third (Ph.D. \ MD),Informatics,Yes,10-20,Israel,5+,10+,2-5,1,1,1,5+,10-20,Prof.,Male,No,10-20,Male,No,Prof.,Yes - They were from the same *field of study* as I am,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Rarely,Informatics,Rarely
Male,46-55,Professor,Informatics,Yes,20+,Israel,5+,10+,5-10,1,0,2,4,10-20,Prof.,Male,No,5-10,Female,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Mathematics,Never
Female,26-35,Third (Ph.D. \ MD),Electrical and electronic engineering,Yes,1-2,Korea South,3,10+,0,2,1,1,5+,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *institute* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,All the time,Informatics,All the time
Male,18-25,Second (Master),Informatics,No,1-2,India,1,2-5,0,2,3+,,,10-20,Dr.,Female,No,,,,,No,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Never,,Never
Male,26-35,Second (Master),Electrical and electronic engineering,Yes,3-5,Israel,2,1,0,1,1,1,1,10-20,Dr.,Male,No,5-10,Female,No,Dr.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,Social sciences,Never
Male,66+,Professor,Informatics,Yes,20+,Israel,4,10+,10+,1,0,1,0,5-10,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Mathematics,Never
Female,36-45,Third (Ph.D. \ MD),Oncology,No,10-20,Austria,3,10+,1,1,0,1,1,20-40,Prof.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Computer Science (CS),Yes,6-9,Israel,5+,5-10,0,1,0,1,5+,20-40,Dr.,Female,No,5-10,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,Linguistics,Rarely
Female,26-35,Third (Ph.D. \ MD),Mechanical engineering,Yes,3-5,Canada,2,2-5,0,1,1,1,3,10-20,Dr.,Male,No,20-40,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Never,,Never
Male,56-65,Professor,Computer Science (CS),Yes,20+,Israel,3,10+,5-10,2,2,1,4,5-10,Prof.,Male,No,5-10,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,Informatics,Rarely
Male,36-45,Professor,Biological Science,Yes,10-20,Israel,5+,10+,0,1,1,1,5+,10-20,Prof.,Female,No,10-20,Female,No,Prof.,No,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Never,,Rarely
Male,46-55,Third (Ph.D. \ MD),Computer Science (CS),Yes,10-20,Germany,2,10+,5-10,1,1,1,0,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,Linguistics,Never
Male,56-65,Professor,Informatics,Yes,20+,Israel,5+,10+,5-10,1,3+,3,5+,0-5,Prof.,Male,No,0-5,Male,,Prof.,Yes - They were from the same *field of study* as I am,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Never,Computer Science (CS),Rarely
Female,26-35,Third (Ph.D. \ MD),Neuroscience,No,3-5,Belgium,2,5-10,0,1,0,1,2,10-20,Dr.,Female,No,10-20,Female,No,Dr.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,,Never
Male,36-45,Professor,Computer Science (CS),Yes,20+,Israel,5+,10+,1,2,1,2,4,10-20,Prof.,Male,No,10-20,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am, Yes - They were from the same *gender* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Female,26-35,Third (Ph.D. \ MD),Computer Science (CS),Yes,3-5,Netherlands,2,1,0,2,1,2,0,20-40,Prof.,Male,No,5-10,,No,Dr.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,,Rarely
Female,26-35,Third (Ph.D. \ MD),Computer Science (CS),Yes,6-9,Germany,4,10+,0,1,1,2,5+,0-5,Dr.,Male,No,20-40,Male,Yes,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Often,Environmental science,Often
Male,36-45,Third (Ph.D. \ MD),Computer Science (CS),No,10-20,Germany,3,2-5,0,2,2,2,4,10-20,Prof.,Male,No,10-20,Male,No,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *gender* as I am",Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,Mathematics,Never
Female,18-25,Second (Master),Linguistics,Yes,3-5,Germany,1,2-5,0,2,0,,,10-20,Dr.,Male,No,10-20,Female,,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Computer Science (CS),Never
Male,36-45,Third (Ph.D. \ MD),Computer Science (CS),Working in a private research lab that actively participates in paper writing and publication,10-20,United Kingdom,3,5-10,0,1,1,1,5+,10-20,Dr.,Male,No,10-20,Male,No,Dr.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *gender* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,Linguistics,Often
Male,66+,Professor,Informatics,No,20+,Australia,5+,10+,10+,1,0,1,3,10-20,Dr.,Male,No,20-40,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Never,Computer Science (CS),Rarely
Male,36-45,Second (Master),Computer Science (CS),Yes,6-9,Israel,3,5-10,0,2,2,2,5+,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,26-35,Third (Ph.D. \ MD),Informatics,Yes,6-9,Italy,3,2-5,0,I did a direct Ph.D.,0,1,5+,,,Male,No,5-10,Male,No,Dr.,No,No,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Rarely,Never,Computer Science (CS),Rarely
Female,36-45,Second (Master),Informatics,Yes,3-5,United States,1,1,0,2,2,,,5-10,Dr.,Male,Yes,,,,,No,No,Only when absolutely relevant and warranted,Whenever I can,Never,Never,Mathematics,Rarely
Male,36-45,Third (Ph.D. \ MD),Genome science,Yes,6-9,Japan,2,5-10,0,2,1,2,5+,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Rarely,,Never
Male,46-55,Professor,Genome science,No,10-20,Japan,4,10+,2-5,1,1,1,3,20-40,Prof.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Male,66+,Second (Master),Informatics,Consulting,20+,Israel,3,10+,10+,1,1,Have a MSc degree,0,10-20,Prof.,Male,No,,,,,No,No,Only when absolutely relevant and warranted,When in the general scope of the work,Rarely,Rarely,Computer Science (CS),Rarely
Male,26-35,Third (Ph.D. \ MD),Computer Science (CS),Yes,10-20,United States,4,5-10,2-5,1,1,1,3,10-20,Prof.,Male,No,10-20,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,Biological Science,Never
Male,36-45,Third (Ph.D. \ MD),Computer Science (CS),Yes,10-20,United States,3,1,0,2,1,1,1,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Rarely
Male,36-45,Professor,Computer Science (CS),Yes,10-20,Israel,5+,10+,2-5,2,3+,1,5+,0-5,Dr.,Male,No,10-20,Male,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""","When relevant but not necessarily ""a must""",Never,Rarely,Economics,Never
Female,36-45,Third (Ph.D. \ MD),Computer Science (CS),No,10-20,Singapore,2,2-5,0,1,2,2,4,10-20,Prof.,Male,No,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Electrical and electronic engineering,No,6-9,Japan,3,10+,1,1,0,1,4,20-40,Prof.,Male,Yes,20-40,Male,No,Prof.,No,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Female,26-35,Third (Ph.D. \ MD),Environmental science,Yes,3-5,Greece,1,2-5,0,1,1,1,3,10-20,Dr.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Never,,Never
Female,56-65,Professor,Law,Yes,20+,Russian Federation,1,10+,10+,2,0,2,1,20-40,Prof.,Male,No,20-40,Male,Yes,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am",No,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Never,Never,Philosophy,Never
Female,36-45,Third (Ph.D. \ MD),Biological Science,Yes,6-9,France,2,5-10,0,1,0,2,2,10-20,Dr.,Female,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Never,Rarely,Computer Science (CS),Never
Female,36-45,Third (Ph.D. \ MD),Mathematics,Yes,3-5,United States,2,5-10,1,1,0,1,2,10-20,Dr.,Female,No,20-40,Male,Yes,Prof.,No,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Never,Biological Science,Rarely
Female,36-45,Third (Ph.D. \ MD),Computer Science (CS),Yes,6-9,Austria,2,0,0,1,1,2,5+,5-10,Prof.,Male,No,0-5,Female,No,Prof.,"Yes - They were from the same *institute* as I am, Yes - They were from the same *gender* as I am",No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Informatics,Rarely
Male,18-25,Second (Master),Economics,Yes,0,Georgia,1,0,0,1,1,,,,,Male,No,20-40,,,,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,36-45,Third (Ph.D. \ MD),Nano/Micro science,No,6-9,Italy,2,2-5,0,1,1,2,4,20-40,Prof.,Male,No,20-40,Male,No,Prof.,No,No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,,Never
Male,46-55,Third (Ph.D. \ MD),Civil engineering,No,10-20,Italy,3,10+,2-5,1,0,2,2,10-20,Dr.,Male,Yes,10-20,Male,No,Dr.,"Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am",No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Rarely,,Never
Female,56-65,Professor,Genome science,Yes,20+,New Zealand,5+,10+,5-10,1,0,1,3,20-40,Dr.,Male,No,20-40,Male,No,Prof.,"Yes - They were from the same *institute* as I am, Yes - They were from the same *country* as I am",No,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Never,Never,Chemistry,Never
Male,46-55,Third (Ph.D. \ MD),Mechanical engineering,No,10-20,Canada,3,10+,1,1,1,2,2,20-40,Prof.,Male,Yes,20-40,Male,No,Prof.,No,Yes,"When relevant but not necessarily ""a must""",Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Female,36-45,Third (Ph.D. \ MD),Mechanical engineering,No,6-9,Finland,3,5-10,1,1,2,1,3,20-40,Prof.,Male,No,20-40,Male,No,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Female,56-65,Professor,Mathematics,Yes,20+,Hungary,4,10+,2-5,1,0,1,2,20-40,Prof.,Male,No,20-40,Male,Yes,Prof.,"Yes - They were from the same *field of study* as I am, Yes - They were from the same *country* as I am",Yes,Only when absolutely relevant and warranted,Only when absolutely relevant and warranted,Rarely,Rarely,,Never
Female,66+,Professor,Pharmacy,Yes,20+,Brazil,4,10+,2-5,2,1,1,3,20-40,Prof.,Male,No,20-40,Male,Yes,Prof.,Yes - They were from the same *field of study* as I am,Yes,Only when absolutely relevant and warranted,"When relevant but not necessarily ""a must""",Rarely,Rarely,,Never
